,maxtemp,temp,humid,cloud,wind,country,date,lon,lat,cityname
178,18.0,18.0,94,20,5.66,PT,1618687717,-28.7,38.5167,ribeira grande
179,12.22,11.17,80,99,3.58,AU,1618687718,147.0587,-42.7826,new norfolk
180,25.56,25.22,31,1,5.14,MX,1618687718,-101.8167,18.9667,la huacana
181,13.0,13.0,88,0,5.14,AU,1618687718,121.9,-33.8667,esperance
182,-8.75,-8.75,92,100,2.15,RU,1618687719,135.6,70.0167,ust-kuyga
183,12.22,12.22,87,9,0.45,AU,1618687719,150.8552,-34.5833,flinders
184,16.67,14.95,63,100,0.89,PT,1618687719,-17.1,32.6667,ponta do sol
185,22.91,22.91,99,100,0.54,PG,1618687720,141.2906,-6.1219,kiunga
186,27.68,27.68,17,0,4.23,MR,1618687720,-10.0711,20.5022,adrar
187,24.0,24.0,64,75,2.31,IN,1618687720,85.3167,23.4333,kanke
188,-11.87,-11.87,83,100,6.27,RU,1618687720,118.3319,63.2842,nyurba
189,30.0,30.0,66,75,4.19,KE,1618687721,40.0573,1.7471,wajir
190,23.17,23.17,20,99,2.69,IR,1618687721,55.4107,31.6128,bafq
191,0.65,0.65,77,100,4.68,RU,1618687721,107.3397,53.1939,khuzhir
192,18.0,18.0,77,0,5.14,ZA,1618687722,27.9116,-33.0153,east london
193,29.62,29.62,21,89,8.56,LY,1618687722,25.0865,31.7561,bardiyah
194,-17.04,-17.04,98,69,1.45,RU,1618687722,166.4372,68.0546,bilibino
195,33.7,33.7,4,100,4.19,NE,1618687722,7.3853,18.7369,arlit
196,1.0,1.0,100,75,1.84,RU,1618687723,33.2531,69.1933,snezhnogorsk
197,15.0,15.0,36,1,4.12,CA,1618687723,-120.2362,55.7666,dawson creek
198,-14.87,-14.87,94,100,9.88,RU,1618687723,111.5,66.0,aykhal
199,27.92,27.92,75,100,3.45,KI,1618687724,172.7902,3.0707,butaritari
200,19.47,19.47,60,99,2.45,ZM,1618687724,23.1047,-13.5432,zambezi
201,8.14,8.14,75,100,2.74,BY,1618687724,29.7333,52.6333,svetlogorsk
202,25.0,24.5,100,40,2.06,MY,1618687725,113.0333,3.1667,bintulu
203,25.56,25.56,86,17,4.53,MU,1618687725,57.6608,-20.0064,grand gaube
204,25.19,25.19,78,14,6.41,NC,1618687725,164.0167,-20.2333,poum
205,21.55,21.55,94,100,0.76,PH,1618687725,121.8574,16.535,minuri
206,13.33,13.33,92,100,0.89,CN,1618687726,104.5491,30.391,jiancheng
207,26.01,26.01,74,15,2.34,PF,1618687726,-151.3333,-22.4333,moerai
208,12.22,12.22,60,100,0.89,NZ,1618687726,170.5036,-45.8742,dunedin
209,30.01,30.01,61,12,8.17,MX,1618687727,-95.5,18.7,mundo nuevo
210,26.78,26.78,86,64,3.05,GA,1618687727,10.6554,-3.432,mayumba
211,19.73,19.73,87,5,2.23,AU,1618687727,146.2667,-20.1,charters towers
212,23.89,22.43,94,0,3.59,NC,1618687255,166.4572,-22.2763,noumea
213,-7.0,-7.11,45,40,3.09,GL,1618687558,-51.7216,64.1835,nuuk
214,12.0,6.77,51,0,3.09,IT,1618687572,10.7002,46.6166,lasa
215,27.0,27.0,22,0,3.6,SA,1618687728,40.2064,29.9697,sakakah
216,17.22,16.56,20,1,2.32,US,1618687613,-116.4201,43.4918,kuna
217,2.38,2.38,91,100,3.95,RU,1618687728,138.3297,46.5389,svetlaya
